,is_canceled,lead_time,Direct(bool),precancel(bool),prebook(bool),change_room(bool),reserve_change(bool),parkinglot(bool),special_request(bool),customer_type(label)
0,0,6,0.0,0,0,0,0,0.0,0.0,2
1,1,88,0.0,0,0,0,0,0.0,1.0,2
2,1,65,0.0,0,0,0,0,0.0,1.0,2
3,1,92,0.0,0,0,0,0,0.0,1.0,2
4,1,100,0.0,0,0,0,0,0.0,1.0,2
5,1,79,0.0,0,0,0,0,0.0,1.0,2
6,0,3,0.0,0,0,0,0,0.0,0.0,3
7,1,63,0.0,0,0,0,0,0.0,0.0,2
8,1,62,0.0,0,0,0,0,0.0,1.0,2
9,1,62,0.0,0,0,0,0,0.0,1.0,2
10,0,43,0.0,0,0,0,0,0.0,0.0,3
11,0,43,0.0,0,0,0,0,0.0,0.0,3
12,0,43,0.0,0,0,0,0,0.0,0.0,3
13,0,4,0.0,0,0,0,0,0.0,0.0,3
14,1,43,0.0,0,0,0,0,0.0,0.0,3
15,0,43,0.0,0,0,0,0,0.0,0.0,3
16,1,43,0.0,0,0,0,0,0.0,0.0,3
17,0,43,0.0,0,0,0,0,0.0,0.0,3
18,0,43,0.0,0,0,0,0,0.0,0.0,3
19,1,43,0.0,0,0,0,0,0.0,0.0,3
20,1,43,0.0,0,0,0,0,0.0,0.0,3
21,1,97,0.0,0,0,0,0,0.0,1.0,2
22,0,43,0.0,0,0,0,0,0.0,0.0,3
23,0,43,0.0,0,0,0,0,0.0,0.0,3
24,1,80,0.0,0,0,0,0,0.0,1.0,2
25,0,60,0.0,0,0,0,0,0.0,0.0,2
26,1,106,0.0,0,0,0,0,0.0,0.0,2
27,1,68,0.0,0,0,0,0,0.0,0.0,2
28,1,92,0.0,0,0,0,0,0.0,1.0,2
29,0,18,0.0,0,0,0,0,0.0,0.0,3
30,1,71,0.0,0,0,0,0,0.0,0.0,2
31,1,85,0.0,0,0,0,0,0.0,0.0,2
32,1,92,0.0,0,0,0,0,0.0,0.0,2
33,1,75,0.0,0,0,0,0,0.0,1.0,2
34,1,92,0.0,0,0,0,0,0.0,1.0,2
35,1,89,0.0,0,0,0,0,0.0,1.0,2
36,1,100,0.0,0,0,0,0,0.0,1.0,2
37,1,83,0.0,0,0,0,0,0.0,1.0,2
38,1,72,0.0,0,0,0,0,0.0,1.0,2
39,1,111,0.0,0,0,0,0,0.0,1.0,2
40,1,86,0.0,0,0,0,0,0.0,0.0,2
41,1,73,0.0,0,0,0,0,0.0,0.0,2
42,1,92,0.0,0,0,0,0,0.0,0.0,2
43,1,55,0.0,0,0,0,0,0.0,1.0,3
44,0,69,0.0,0,0,0,0,0.0,0.0,2
45,1,76,0.0,0,0,0,0,0.0,1.0,3
46,1,76,0.0,0,0,0,0,0.0,1.0,3
47,1,79,0.0,0,0,0,0,0.0,1.0,2
48,1,61,0.0,0,0,0,0,0.0,1.0,2
49,1,55,0.0,0,0,0,0,0.0,1.0,3
50,1,63,1.0,0,0,0,0,0.0,1.0,3
51,1,63,1.0,0,0,0,0,0.0,1.0,3
52,1,77,0.0,0,0,0,0,0.0,0.0,2
53,0,54,0.0,0,0,0,0,0.0,0.0,2
54,1,90,0.0,0,0,0,0,0.0,0.0,2
55,1,90,0.0,0,0,0,0,0.0,0.0,2
56,1,117,0.0,0,0,0,0,0.0,0.0,2
57,0,6,0.0,0,0,0,0,0.0,0.0,3
58,1,105,0.0,0,0,0,0,0.0,1.0,2
59,0,51,0.0,0,0,0,0,0.0,0.0,2
60,1,97,0.0,0,0,0,0,0.0,1.0,2
61,0,72,0.0,0,0,0,0,0.0,0.0,2
62,1,72,0.0,0,0,0,0,0.0,1.0,2
63,1,61,0.0,0,0,0,0,0.0,0.0,2
64,1,63,0.0,0,0,0,0,0.0,0.0,2
65,1,24,0.0,0,0,0,0,0.0,0.0,2
66,1,89,0.0,0,0,0,0,0.0,1.0,2
67,0,92,0.0,0,0,0,0,0.0,1.0,2
68,1,84,0.0,0,0,0,0,0.0,0.0,2
69,1,65,0.0,0,0,0,0,0.0,1.0,2
70,1,85,1.0,0,0,0,0,0.0,0.0,2
71,1,115,0.0,0,0,0,0,0.0,1.0,2
72,0,67,0.0,0,0,0,0,0.0,0.0,2
