,is_canceled,lead_time,Direct(bool),precancel(bool),prebook(bool),change_room(bool),reserve_change(bool),parkinglot(bool),special_request(bool),customer_type(label)
0,0,342,1.0,0,0,0,0,0.0,0.0,2
1,0,737,1.0,0,0,0,0,0.0,0.0,2
2,0,7,1.0,0,0,1,0,0.0,0.0,2
3,0,13,0.0,0,0,0,0,0.0,0.0,2
4,0,14,0.0,0,0,0,0,0.0,1.0,2
5,0,14,0.0,0,0,0,0,0.0,1.0,2
6,0,0,1.0,0,0,0,0,0.0,0.0,2
7,0,9,1.0,0,0,0,0,0.0,1.0,2
8,1,85,0.0,0,0,0,0,0.0,1.0,2
9,1,75,0.0,0,0,0,0,0.0,0.0,2
10,1,23,0.0,0,0,0,0,0.0,0.0,2
11,0,35,0.0,0,0,0,0,0.0,0.0,2
12,0,68,0.0,0,0,1,0,0.0,1.0,2
13,0,18,0.0,0,0,0,0,0.0,1.0,2
14,0,37,0.0,0,0,0,0,0.0,0.0,2
15,0,68,0.0,0,0,1,0,0.0,1.0,2
16,0,37,0.0,0,0,0,0,0.0,0.0,0
17,0,12,0.0,0,0,1,0,0.0,0.0,2
18,0,0,0.0,0,0,1,0,0.0,0.0,2
19,0,7,1.0,0,0,0,0,0.0,1.0,2
20,0,37,0.0,0,0,0,0,0.0,1.0,2
21,0,72,1.0,0,0,0,0,0.0,1.0,2
22,0,72,1.0,0,0,0,0,0.0,1.0,2
23,0,72,1.0,0,0,0,0,0.0,1.0,2
24,0,127,0.0,0,0,1,0,0.0,1.0,0
25,0,78,0.0,0,0,0,0,1.0,0.0,2
26,0,48,0.0,0,0,0,0,0.0,0.0,0
27,1,60,0.0,0,0,0,0,0.0,1.0,2
28,0,77,0.0,0,0,0,0,0.0,0.0,2
29,0,99,0.0,0,0,0,0,1.0,1.0,2
30,0,118,1.0,0,0,0,0,0.0,1.0,2
31,0,95,0.0,0,0,0,0,0.0,0.0,2
32,1,96,1.0,0,0,0,0,0.0,1.0,2
33,0,69,0.0,0,0,1,0,0.0,0.0,2
34,1,45,0.0,0,0,0,0,0.0,1.0,2
35,1,40,0.0,0,0,0,0,0.0,1.0,2
36,0,15,0.0,0,0,1,0,0.0,0.0,2
37,0,36,0.0,0,0,0,0,0.0,1.0,2
38,1,43,0.0,0,0,0,0,0.0,0.0,2
39,0,70,1.0,0,0,0,0,0.0,1.0,2
40,1,45,0.0,0,0,0,0,0.0,0.0,2
41,0,45,0.0,0,0,0,0,0.0,0.0,0
42,0,16,1.0,0,0,0,0,0.0,0.0,2
43,0,70,1.0,0,0,0,0,0.0,1.0,2
44,0,107,0.0,0,0,0,0,0.0,1.0,2
45,1,47,0.0,0,0,0,0,0.0,0.0,2
46,0,96,0.0,0,0,0,0,0.0,1.0,2
47,0,113,0.0,0,0,0,0,0.0,1.0,3
48,0,90,0.0,0,0,1,0,0.0,0.0,0
49,0,50,0.0,0,0,1,0,0.0,1.0,2
50,0,113,0.0,0,0,0,0,0.0,1.0,3
51,0,93,0.0,0,0,0,0,0.0,0.0,0
52,0,76,0.0,0,0,0,0,0.0,0.0,0
53,0,3,0.0,0,0,1,0,1.0,0.0,2
54,0,1,0.0,0,0,0,0,1.0,0.0,2
55,0,1,1.0,0,0,0,0,1.0,1.0,2
56,0,0,1.0,0,0,0,0,0.0,0.0,2
57,0,0,0.0,0,0,1,0,0.0,1.0,2
58,0,0,1.0,0,0,0,0,0.0,0.0,2
59,0,14,0.0,0,0,1,0,0.0,1.0,2
60,0,10,0.0,0,0,0,0,0.0,0.0,2
61,0,5,0.0,0,0,0,0,1.0,1.0,2
62,0,17,1.0,0,0,0,0,0.0,1.0,2
63,0,93,0.0,0,0,1,0,0.0,0.0,0
64,1,3,0.0,0,0,0,0,0.0,1.0,2
65,0,10,0.0,0,0,1,0,1.0,0.0,2
66,0,3,0.0,0,0,1,0,0.0,0.0,2
67,0,51,0.0,0,0,0,0,0.0,0.0,2
68,1,71,0.0,0,0,0,0,0.0,1.0,2
69,1,63,0.0,0,0,0,0,0.0,1.0,2
70,1,62,0.0,0,0,0,0,0.0,1.0,2
71,1,101,0.0,0,0,0,0,0.0,1.0,2
72,0,2,0.0,0,0,0,0,0.0,0.0,2
73,0,15,0.0,0,0,0,0,0.0,0.0,2
74,1,51,0.0,0,0,0,0,0.0,0.0,2
75,0,3,0.0,0,0,0,0,1.0,0.0,2
76,1,48,0.0,0,0,0,0,0.0,0.0,2
77,0,2,0.0,0,0,0,0,0.0,0.0,2
78,0,72,0.0,0,0,0,0,1.0,0.0,2
79,0,81,0.0,0,0,0,0,0.0,0.0,2
80,0,99,0.0,0,0,0,0,0.0,0.0,0
81,1,368,0.0,0,0,0,0,0.0,0.0,0
82,0,364,0.0,0,0,0,0,0.0,0.0,0
83,1,81,1.0,0,0,0,0,0.0,1.0,2
84,0,99,0.0,0,0,0,0,0.0,0.0,0
85,0,324,0.0,0,0,0,0,0.0,0.0,0
86,0,69,0.0,0,0,0,0,0.0,1.0,2
87,1,79,0.0,0,0,0,0,0.0,1.0,2
88,0,12,0.0,0,0,1,0,0.0,0.0,2
89,0,9,0.0,0,0,1,0,1.0,1.0,2
